example_id,definition_id,example_no,example_sentence
100,10,0,He averted financial disaster by selling his pharmaceutical stocks before they crashed.
200,20,0,Providing a healthy breakfast to primary school students will have an immediate effect on their academic performance.
300,30,0,Critics did not fully appreciate Van Gogh’s talent or artistic vision until long after his passing.
310,31,0,"When walking through the slums of Kolkata, you immediately appreciate the depth of poverty faced by local residents."
400,40,0,We will have to divide the group into parties of eight for everyone’s convenience on the tour.
500,50,0,Any queries regarding room and trip reservations can be answered by the hotel’s front desk attendant.
600,60,0,"Tourists exploring the island can harm the natural environment, often without even realising it."
610,61,0,Lab procedures must be followed in order to prevent personal harm.
700,70,0,The study’s primary objective is to find out why the coral reefs are dying.
710,71,0,Some art critics believe the value of art is determined by objective methods of evaluation rather than individuals’ reactions.
800,80,0,The blue whale is the largest mammal known to have ever lived on Earth.
900,90,0,The next few days will be critical for the success of the entire project.
1000,100,0,"Water is a precious resource that should not be wasted, especially during a drought."
1100,110,0,Fear of failure is often the biggest obstacle to achieving success.
1200,120,0,The artist received a commission to create a mural for the new city hall.
1300,130,0,The government needs to tackle the issue of rising inflation immediately.
1400,140,0,She tried to conceal her disappointment with a forced smile.
1500,150,0,The conflict between the two departments was resolved after a long meeting.
1600,160,0,We gathered all the necessary information before making a final decision.
1700,170,0,Farmers must ensure their livestock have enough food and water during the winter.
1800,180,0,The country is known for its advanced medical technology and infrastructure.
1900,190,0,He is very keen on learning new languages to broaden his horizons.
2000,200,0,The old factory has been derelict for decades and is now covered in ivy.
2200,220,0,"For networking purposes, it’s important to pay attention to the job titles of the people you meet at a professional conference."
2300,230,0,The union launched the strike because it was not willing to make steep concessions regarding overtime pay.
2310,231,0,University students receive a concession of 50% on admission to sporting events.
2400,240,0,Parents should always try to set aside the time to read and play with their young children.
2500,250,0,The orientation session covering employee health insurance will be replaced by a welcome speech from the CEO.
2600,260,0,New laws ought to be made to protect residents and the environment from the dangers of natural gas extraction.
2700,270,0,The local wildlife authority will also answer queries about seasonal hunting and fishing limits.
2800,280,0,Many advertising experts agree that releasing several short commercials instead of a single long one is a clever marketing scheme.
